================================================================
  X39MATRIX — MANIFEST_MAESTRO (v3 · regenerado automático)
  Generado: 2026-06-23T17:04:21Z
  Operador: Jose Luis Olivares Esteban <grants@x39matrix.org>
  Ancla: Bitcoin Mainnet vía OpenTimestamps
================================================================

ARCHIVO (.ots)                                                              | BLOQUE BTC   | ESTADO
x39matrix-web/RECORDS.md.v1_triple_anchor.ots                               | 954913       | CONFIRMED
x39matrix-web/X39MATRIX_WHITEPAPER_v1.0.pdf.ots                             | 954873       | CONFIRMED
x39matrix-web/evidence/x39matrix_audit_response_v1.md.ots                   | 953121       | CONFIRMED
x39matrix-web/evidence/x39matrix_internal_analysis_global_v1.md.ots         | 953699       | CONFIRMED
x39matrix-web/notary/MASTER_GOLDEN_SEAL.txt.ots                             | 950381       | CONFIRMED
x39matrix-web/notary/x39_cert_pqc_bundle.tar.gz.ots                         | 953819       | CONFIRMED
...eb/notary/x39_cert_pqc_bundle.tar.gz.v1_originalmente_sellado_953819.ots | 953819       | CONFIRMED
x39matrix/99_ARCHIVE/root_noise/PTU47_institucional_20260422_0102.txt.ots   | 948165       | CONFIRMED
x39matrix/99_ARCHIVE/root_noise/PTU47_registro_auditoria.txt.ots            | 948165       | CONFIRMED
x39matrix/99_ARCHIVE/root_noise/informe_auditoria_20260422_0049.txt.ots     | 948165       | CONFIRMED
x39matrix/99_ARCHIVE/root_noise/informe_seguridad_PTU47_collapse.txt.ots    | 948165       | CONFIRMED
...rix/99_ARCHIVE/root_noise/inspeccion_institucional_20260422_0102.txt.ots | 948162       | CONFIRMED
...rix/99_ARCHIVE/root_noise/manifiesto_institucional_20260422_0102.txt.ots | 948165       | CONFIRMED
x39matrix/99_ARCHIVE/root_noise/manifiesto_sello_20260422_0055.txt.ots      | 948165       | CONFIRMED
x39matrix/99_ARCHIVE/root_noise/registro_x39.txt.ots                        | 948165       | CONFIRMED
...trix/PISTA1_CONFIDENCIAL_NDA/informe_marruecos_x39_20260422_0119.txt.ots | 948162       | CONFIRMED
x39matrix/README.md.ots                                                     | 954966       | CONFIRMED
x39matrix/WHAT_IS_X39MATRIX.sh.ots                                          | 952883       | CONFIRMED
x39matrix/ai_identity.txt.ots                                               | 951352       | CONFIRMED
x39matrix/backups/full_status_1779449209.log.ots                            | 950501       | CONFIRMED
x39matrix/backups/status_20260525_140803.txt.ots                            | 950955       | CONFIRMED
x39matrix/backups/status_20260525_140803.txt.sha256.ots                     | 950955       | CONFIRMED
x39matrix/backups/status_20260527_234045.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_054316.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_082720.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_134633.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_135331.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_135642.txt.ots                            | 951412       | CONFIRMED
x39matrix/backups/status_20260528_135808.txt.ots                            | 951412       | CONFIRMED
x39matrix/backups/status_20260528_135927.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_141451.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_150259.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_150502.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_150600.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_150638.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_150751.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_150844.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_20260528_150917.txt.ots                            | 951417       | CONFIRMED
x39matrix/backups/status_hashes_latest.txt.ots                              | 951417       | CONFIRMED
x39matrix/btc_anchors/backups/B27_SEALED_BITCOIN_948055_1778005667.ots      | 948055       | CONFIRMED
x39matrix/btc_anchors/x39_100B_audit_seal.txt.ots                           | 948041       | CONFIRMED
x39matrix/btc_anchors/x39_1B_audit_seal.txt.ots                             | 947994       | CONFIRMED
x39matrix/btc_anchors/x39_B27_quantum_stress_seal.txt.ots                   | 948055       | CONFIRMED
x39matrix/dossier/X39MATRIX_DFINITY_V3.pdf.ots                              | 951664       | CONFIRMED
x39matrix/dossier/X39_LOGROS_PUBLICOS.pdf.ots                               | 951666       | CONFIRMED
x39matrix/evidence/MANIFIESTO_7_AXIOMAS.txt.ots                             | 950381       | CONFIRMED
x39matrix/evidence/MASTER_GOLDEN_SEAL.txt.ots                               | 950381       | CONFIRMED
x39matrix/evidence/PUBLIC_MANIFIEST_1779229749009834030.txt.ots             | 950220       | CONFIRMED
x39matrix/evidence/artefacto.txt.ots                                        | 950381       | CONFIRMED
x39matrix/evidence/audit_full_1779229749009834030.candid.ots                | 950149       | CONFIRMED
...ence/corebackend_genesis_sig_20260606T162418Z/genesis_signature.json.ots | 952634       | CONFIRMED
x39matrix/evidence/manifest_v2_20260607T214128Z/manifest_v2.json.ots        | 952772       | CONFIRMED
.../evidence/pq_genesis_signature_20260607T105951Z/manifest_triple.json.ots | 952718       | CONFIRMED
x39matrix/evidence/pq_super_fortify_20260608T203726Z/SHA256SUMS.txt.ots     | 952898       | CONFIRMED
x39matrix/evm_anchor/eth_l1_anchor.json.ots                                 | 951586       | CONFIRMED
x39matrix/notary/MANIFIESTO_7_AXIOMAS.txt.ots                               | 950381       | CONFIRMED
x39matrix/notary/MASTER_GOLDEN_SEAL.txt.ots                                 | 950381       | CONFIRMED
x39matrix/notary/X39_OMPI_DECLARATION_v1.0_FINAL.pdf.ots                    | 952511       | CONFIRMED
x39matrix/notary/x39_verify_v1.2_deployment.txt.ots                         | 952586       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260525_140803.txt.ots                     | 950955       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260527_234045.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_054316.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_082720.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_134633.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_135331.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_135642.txt.ots                     | 951412       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_135808.txt.ots                     | 951412       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_135927.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_141451.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_150259.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_150502.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_150600.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_150638.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_150751.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_150844.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_20260528_150917.txt.ots                     | 951417       | CONFIRMED
x39matrix/ots_proofs/ots/status_hashes_latest.txt.ots                       | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260525_140803.txt.ots                         | 950955       | CONFIRMED
x39matrix/ots_proofs/status_20260527_234045.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_054316.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_082720.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_134633.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_135331.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_135642.txt.ots                         | 951412       | CONFIRMED
x39matrix/ots_proofs/status_20260528_135808.txt.ots                         | 951412       | CONFIRMED
x39matrix/ots_proofs/status_20260528_135927.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_141451.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_150259.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_150502.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_150600.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_150638.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_150751.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_150844.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_20260528_150917.txt.ots                         | 951417       | CONFIRMED
x39matrix/ots_proofs/status_hashes_latest.txt.ots                           | 951417       | CONFIRMED
x39matrix/outreach_govt/X39MATRIX_Sectoral_Brochure_EN.pdf.ots              | 952822       | CONFIRMED
x39matrix/outreach_govt/X39MATRIX_morphism_study_v1.md.asc.ots              | 953076       | CONFIRMED
x39matrix/outreach_govt/X39MATRIX_morphism_study_v1.pdf.ots                 | 952873       | CONFIRMED
x39matrix/outreach_govt/note_applicabilite_industries_FR.pdf.ots            | 952861       | CONFIRMED
x39matrix/outreach_govt/verifier_demo_pq_v3.mp4.ots                         | 952835       | CONFIRMED
...ovt/x39matrix/evidence/manifest_v2_20260607T214128Z/manifest_v2.json.ots | 952772       | CONFIRMED
.../evidence/pq_genesis_signature_20260607T105951Z/manifest_triple.json.ots | 952718       | CONFIRMED
x39matrix/outreach_govt/x39matrix/notary/MANIFIESTO_7_AXIOMAS.txt.ots       | 950381       | CONFIRMED
x39matrix/outreach_govt/x39matrix/notary/MASTER_GOLDEN_SEAL.txt.ots         | 950381       | CONFIRMED
...x/outreach_govt/x39matrix/notary/X39_OMPI_DECLARATION_v1.0_FINAL.pdf.ots | 952511       | CONFIRMED
x39matrix/outreach_govt/x39matrix/notary/x39_verify_v1.2_deployment.txt.ots | 952586       | CONFIRMED
x39matrix/public_audit_evidence/atlas_20260530T104736Z.log.ots              | 951700       | CONFIRMED
x39matrix/public_audit_evidence/atlas_20260530T104809Z.log.ots              | 951700       | CONFIRMED
x39matrix/public_audit_evidence/atlas_20260530T104942Z.log.ots              | 951700       | CONFIRMED
x39matrix/public_audit_evidence/ots/SHA256SUMS_20260530T104946Z.txt.ots     | 951700       | CONFIRMED
x39matrix/public_audit_evidence/ots/atlas_20260530T104736Z.log.ots          | 951700       | CONFIRMED
x39matrix/public_audit_evidence/ots/atlas_20260530T104809Z.log.ots          | 951700       | CONFIRMED
x39matrix/public_audit_evidence/ots/atlas_20260530T104942Z.log.ots          | 951700       | CONFIRMED
x39matrix/public_audit_evidence/ots/verify_publico_20260530T104735Z.log.ots | 951700       | CONFIRMED
x39matrix/public_audit_evidence/ots/verify_publico_20260530T104808Z.log.ots | 951700       | CONFIRMED
x39matrix/public_audit_evidence/ots/verify_publico_20260530T104941Z.log.ots | 951700       | CONFIRMED
x39matrix/public_audit_evidence/verify_publico_20260530T104735Z.log.ots     | 951700       | CONFIRMED
x39matrix/public_audit_evidence/verify_publico_20260530T104808Z.log.ots     | 951700       | CONFIRMED
x39matrix/public_audit_evidence/verify_publico_20260530T104941Z.log.ots     | 951700       | CONFIRMED
x39matrix/public_signatures/MANIFIESTO_PRIMERA_DUPLA_20260506.txt.ots       | 948177       | CONFIRMED
x39matrix/repo-github/WHAT_IS_X39MATRIX.sh.ots                              | 952883       | CONFIRMED
x39matrix/repo-github/evidence/key_consolidation_v1/manifest.json.asc.ots   | 953007       | CONFIRMED
...x/repo-github/evidence/manifest_v2_20260607T214128Z/manifest_v2.json.ots | 952772       | CONFIRMED
...github/evidence/morphism_study_v1/X39MATRIX_morphism_study_v1.md.asc.ots | 953076       | CONFIRMED
...po-github/evidence/morphism_study_v1/X39MATRIX_morphism_study_v1.pdf.ots | 952873       | CONFIRMED
.../evidence/pq_genesis_signature_20260607T105951Z/manifest_triple.json.ots | 952718       | CONFIRMED
x39matrix/repo-github/evidence/x39matrix_audit_response_v1.md.ots           | 953121       | CONFIRMED
x39matrix/repo-github/evidence/x39matrix_internal_analysis_global_v1.md.ots | 953699       | CONFIRMED
x39matrix/repo-github/notary/MANIFIESTO_7_AXIOMAS.txt.ots                   | 950381       | CONFIRMED
x39matrix/repo-github/notary/MASTER_GOLDEN_SEAL.txt.ots                     | 950381       | CONFIRMED
x39matrix/repo-github/notary/X39_OMPI_DECLARATION_v1.0_FINAL.pdf.ots        | 952511       | CONFIRMED
x39matrix/repo-github/notary/x39_verify_v1.2_deployment.txt.ots             | 952586       | CONFIRMED
x39matrix/repo-github/verifier_demo_pq_v3.mp4.ots                           | 952830       | CONFIRMED
.../x39matrix/evidence/pq_super_fortify_20260608T203726Z/SHA256SUMS.txt.ots | 952898       | CONFIRMED
x39matrix/seal.ots                                                          | 950381       | CONFIRMED
x39matrix/solana_anchor/sol_l1_anchor.json.ots                              | 951605       | CONFIRMED
x39matrix/src/frontend/assets/MANIFIESTO_7_AXIOMAS.txt.ots                  | 950381       | CONFIRMED
x39matrix/src/frontend/assets/MASTER_GOLDEN_SEAL.txt.ots                    | 950381       | CONFIRMED
x39matrix/src/frontend/assets/PUBLIC_VERIFY_X39_FULL.sh.ots                 | 952456       | CONFIRMED
x39matrix/src/frontend/assets/audit_full_1779229749009834030.candid.ots     | 950149       | CONFIRMED
x39matrix/x39matrix/X39_KEY_CONSOLIDATION_v1/manifest.json.asc.ots          | 953007       | CONFIRMED
...trix/x39matrix/X39_OMPI_Filing_Pack/X39_PQ_SOVEREIGN_FINGERPRINT.txt.ots | 952148       | CONFIRMED
...39matrix/X39_OMPI_Filing_Pack/x39_HRF_evidence_bundle_2026-06-04.zip.ots | 952371       | CONFIRMED
x39matrix/x39matrix/X39_OMPI_Filing_Pack/x39_sovereign.mldsa87.pk.pem.ots   | 952148       | CONFIRMED
x39matrix/x39matrix/X39_OMPI_Filing_Pack/x39_sovereign.mlkem1024.pk.pem.ots | 952148       | CONFIRMED
x39matrix/x39matrix/X39_OMPI_Filing_Pack/x39_sovereign_identity.json.ots    | 952148       | CONFIRMED
x39matrix/x39matrix/X39_OMPI_Filing_Pack/x39_topos_axiom.mldsa87.sig.ots    | 952148       | CONFIRMED
x39matrix/x39matrix/X39_PQ_SOVEREIGN/X39_PQ_SOVEREIGN_FINGERPRINT.txt.ots   | 952148       | CONFIRMED
x39matrix/x39matrix/X39_PQ_SOVEREIGN/x39_sovereign.mldsa87.pk.pem.ots       | 952148       | CONFIRMED
x39matrix/x39matrix/X39_PQ_SOVEREIGN/x39_sovereign.mlkem1024.pk.pem.ots     | 952148       | CONFIRMED
x39matrix/x39matrix/X39_PQ_SOVEREIGN/x39_sovereign_identity.json.ots        | 952148       | CONFIRMED
x39matrix/x39matrix/X39_PQ_SOVEREIGN/x39_topos_axiom.mldsa87.sig.ots        | 952148       | CONFIRMED
.../x39matrix/evidence/pq_super_fortify_20260608T203726Z/SHA256SUMS.txt.ots | 952898       | CONFIRMED
x39matrix/x39matrix/test_run_20260602.log.ots                               | 952153       | CONFIRMED
x39matrix/x39matrix/verification_report_20260602_210846.json.ots            | 952160       | CONFIRMED
x39matrix/x39matrix/verification_report_20260602_211942.json.ots            | 952160       | CONFIRMED
x39matrix/x39matrix/verification_report_20260602_213154.json.ots            | 952160       | CONFIRMED
x39matrix/x39matrix/verification_report_20260606_114415.json.ots            | 952606       | CONFIRMED
x39matrix/x39matrix/verify_x39_total.sh.ots                                 | 952160       | CONFIRMED
x39matrix/x39matrix/x39_topos_axiom.md.ots                                  | 952036       | CONFIRMED

================================================================
  TOTAL .ots ......... 182
  CONFIRMED .......... 181
  PENDING ............ 1
================================================================
